Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2043,191900.0,1590200.0,600.0,65149.722554158594,448500000.0,0.18411532005559414,2.2090395113500643,49930.41576235182,0.47,28899.073029796564,600.0,21716.57418471953,21716.57418471953,empirical_high_600_km2_per_year,600.0,10200.0,5.613648871766652
2044,192500.0,1589600.0,600.0,69029.93993742423,448000000.0,0.18340603823844892,2.2079095724313063,50443.7345110809,0.47,28795.02096369181,600.0,23009.97997914141,23009.97997914141,empirical_high_600_km2_per_year,600.0,10800.0,5.943863511282332
2045,193100.0,1589000.0,600.0,72984.63367212832,447500000.0,0.18270106223264984,2.206920875877393,50963.163389838366,0.47,28689.914127798053,600.0,24328.21122404277,24328.21122404277,empirical_high_600_km2_per_year,600.0,11400.0,6.274078150798013
2046,193700.0,1588400.0,600.0,77017.10610027378,447000000.0,0.18200035191032427,2.206055766392719,51488.782367232736,0.47,28584.09621224482,600.0,25672.36870009126,25672.36870009126,empirical_high_600_km2_per_year,600.0,12000.0,6.604292790313715
2047,194300.0,1587800.0,600.0,81130.55312041205,446500000.0,0.18130386763908685,2.205298795593629,52020.67254061356,0.47,28477.840932105195,600.0,27043.517706804018,27043.517706804018,empirical_high_600_km2_per_year,600.0,12600.0,6.934507429829395
2048,194900.0,1587200.0,600.0,85328.08206714713,446000000.0,0.18061157027441244,2.2046364461444257,52558.916153031576,0.47,28371.366037681575,600.0,28442.694022382377,28442.694022382377,empirical_high_600_km2_per_year,600.0,13200.0,7.264722069345075
2049,195500.0,1586600.0,600.0,89612.72746751807,445500000.0,0.1799234211521493,2.2040568903763726,53103.59661046778,0.47,28264.844522499192,600.0,29870.909155839356,29870.909155839356,empirical_high_600_km2_per_year,600.0,13800.0,7.594936708860756
2050,196100.0,1586000.0,600.0,93987.46512319444,445000000.0,0.17923938208116993,2.203549779079326,53654.79849933593,0.47,28158.413589470114,600.0,31329.155041064816,31329.155041064816,empirical_high_600_km2_per_year,600.0,14400.0,7.925151348376436
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,1600400.0,0.0,0.0,uncapped_internal_model,,0.0,0.0
2026,181700.0,1600400.0,1438.6507306655014,4315.952191996505,452080000.0,0.19475383931794832,2.2874999999999996,42066.5,0.47,30000.0,1600400.0,1438.6507306655014,1438.6507306655014,uncapped_internal_model,,0.0,0.0
2027,183138.6507306655,1598961.3492693345,2376.628394982079,7129.885184946237,452360000.0,0.19351757935976063,2.2765625,42487.165,0.47,30003.718459495354,1598961.3492693345,2376.628394982079,2376.628394982079,uncapped_internal_model,,1438.6507306655112,0.7917725540261378
2028,185515.2791256476,1596584.7208743524,2995.827977929924,8987.483933789772,452640000.0,0.19144123218292894,2.2669921874999996,42913.71865855727,0.47,29968.582775674095,1596584.7208743524,2995.827977929924,2995.827977929924,uncapped_internal_model,,3815.2791256475903,2.099768368545729
