Stage,Score Train RMSE Percent,Urban Expansion Adjustment Time,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent,Reference Initial Land Demand per Capita
stage_1_adjustment_time_only,12.100239280856746,17.592099681833236,12.100239280856746,11.142082499143488,15.168409466153,-11.142082499143488,-13.54658573938799,
stage_1_adjustment_time_only,12.100552075027512,17.621895519963456,12.100552075027512,11.142351581534141,15.168409466153,-11.142351581534141,-13.549074267858463,
stage_2_adjustment_time_plus_land_demand,12.104828225179919,17.632419915357836,12.104828225179919,11.145974505927988,15.168409466153,-11.145974505927988,-13.572065351420518,0.00041618580165088
stage_1_adjustment_time_only,12.105168906612924,18.07249153216122,12.105168906612924,11.146320307496019,15.168409466153,-11.146320307496019,-13.585801097426744,
stage_2_adjustment_time_plus_land_demand,12.112267316500077,18.270787228113377,12.112267316500077,11.15234876231955,15.168409466153,-11.15234876231955,-13.628693437094864,0.00039409902572652895
stage_2_adjustment_time_plus_land_demand,12.115732360887126,18.558921703797367,12.115732360887126,11.155310591033752,15.168409466153,-11.155310591033752,-13.654469908077818,0.0003788322903111842
stage_1_adjustment_time_only,12.117744431642482,19.412128971909492,12.117744431642482,11.157102856091278,15.168409466153,-11.157102856091278,-13.685802338834478,
stage_2_adjustment_time_plus_land_demand,12.117906342127844,19.02851069948568,12.117906342127844,11.157198899894421,15.168409466153,-11.157198899894421,-13.677598731029345,0.0004225498488203408
stage_1_adjustment_time_only,12.118546870630158,19.503723382253277,12.118546870630158,11.157789519386244,15.168409466153,-11.157789519386244,-13.692181490454994,
stage_1_adjustment_time_only,12.120722471644811,19.75605771988021,12.120722471644811,11.159650403396466,15.168409466153,-11.159650403396466,-13.709475706337985,
stage_2_adjustment_time_plus_land_demand,12.121332496424664,19.26561504714976,12.121332496424664,11.160115281335093,15.168409466153,-11.160115281335093,-13.701444590658527,0.00039445622688424534
stage_2_adjustment_time_plus_land_demand,12.123298478060999,19.731598072535334,12.123298478060999,11.161820420828455,15.168409466153,-11.161820420828455,-13.72261964559715,0.00043776060997495844
stage_2_adjustment_time_plus_land_demand,12.124521240742801,19.552285224840396,12.124521240742801,11.16283352802942,15.168409466153,-11.16283352802942,-13.725042505646645,0.0003788322903111842
